config,testset,testset_idx,n_samples,is_source,is_target,is_clean,true_acc,acc_st_true,acc_ta_true,acc_st_tdc,acc_ta_tdc,err_st_tdc,err_ta_tdc,acc_st_mm,acc_ta_mm,err_st_mm,err_ta_mm,mano_fro_norm,est_ATC,err_ATC,err_ta_ATC,est_ATC-NE,err_ATC-NE,err_ta_ATC-NE,est_AC,err_AC,err_ta_AC,est_DOC,err_DOC,err_ta_DOC,est_COT,err_COT,err_ta_COT
seed_456,val_source,0,10000,True,False,True,0.964,0.964,0.9642,0.9960847304487501,0.9960847304487501,0.032084730448750154,0.031884730448750176,0.9904599936066827,0.9904599936066827,0.02645999360668272,0.02625999360668274,0.9783173361354555,0.981499969959259,0.017499969959259065,0.017299969959259087,0.9738999605178833,0.009899960517883333,0.009699960517883355,0.9852292537689209,0.02122925376892093,0.021029253768920952,0.9851664900779724,0.021166490077972444,0.020966490077972466,0.9704303270579628,0.00643032705796287,0.006230327057962892
seed_456,val_target,1,66400,False,True,True,0.6698192771084337,0.6698192771084337,0.725105421686747,0.9655709612089111,0.9655901320103416,0.29575168410047736,0.24048471032359464,0.8741508613198214,0.8816055815362623,0.20433158421138775,0.15650015984951537,0.8610611326180235,0.8532229065895081,0.18340362948107436,0.1281174849027611,0.7965210676193237,0.12670179051089003,0.07141564593257677,0.9003279805183411,0.23050870340990737,0.1752225588315941,0.9002652168273926,0.23044593971895888,0.1751597951406456,0.8553508780648118,0.1855316009563781,0.13024545637806484
seed_456,imagenet_val_source,2,2600,True,False,True,0.9326923076923077,0.9326923076923077,0.9411538461538461,0.9945862335653519,0.9953777598880033,0.06189392587304421,0.054223913734157136,0.9832345427446523,0.9832345427446523,0.050542235052344564,0.042080696590806155,0.9664690066114121,0.9661538600921631,0.03346155239985538,0.025000013938316967,0.9553846120834351,0.02269230439112735,0.01423076592958894,0.9758748412132263,0.04318253352091861,0.0347209950593802,0.9758120775222778,0.04311976982997012,0.03465823136843171,0.9647043488852605,0.032012041192952756,0.023550502731414347
seed_456,imagenet_val_target,3,2600,False,True,True,0.6388461538461538,0.6388461538461538,0.7057692307692308,0.9690721649484536,0.9691187238929706,0.33022601110229977,0.2633494931237398,0.8660092117960603,0.8741686918605466,0.22716305794990643,0.16839946109131576,0.8529742532149975,0.8376923203468323,0.19884616650067843,0.13192308957760146,0.7869230508804321,0.1480768970342783,0.08115382011120131,0.893774688243866,0.2549285343977121,0.18800545747463515,0.8937119245529175,0.25486577070676364,0.18794269378368667,0.848365893274902,0.20951973942874813,0.14259666250567116
seed_456,corr_source_fog_sev1,4,2600,True,False,False,0.8442307692307692,0.8442307692307692,0.8676923076923077,0.9763779527559057,0.9763779527559057,0.13214718352513644,0.10868564506359801,0.9355057788289044,0.9357769153026806,0.09127500959813517,0.06808460761037294,0.9205700133236929,0.9142307639122009,0.0699999946814317,0.046538456219893276,0.8873077034950256,0.043076934264256406,0.019615395802717983,0.9422116279602051,0.09798085872943585,0.07451932026789743,0.9421488642692566,0.09791809503848736,0.07445655657694894,0.9010821228729884,0.05685135364221916,0.03338981518068074
seed_456,corr_source_fog_sev2,5,2600,True,False,False,0.8088461538461539,0.8088461538461539,0.8492307692307692,0.9666136724960255,0.9671480311940791,0.1577675186498716,0.11791726196330987,0.9114148424554067,0.9129836188592159,0.10256868860925283,0.06375284962844663,0.9018219683241305,0.8884615302085876,0.07961537636243377,0.03923076097781841,0.858846127986908,0.04999997414075408,0.009615358756138725,0.9270696640014648,0.11822351015531096,0.07783889477069561,0.9270069003105164,0.11816074646436248,0.07777613107974712,0.8750560559571434,0.06620990211098954,0.025825286726374186
seed_456,corr_source_fog_sev3,6,2600,True,False,False,0.75,0.75,0.811923076923077,0.9678443826915443,0.9691905045816271,0.21784438269154427,0.15726742765855017,0.8868211286594262,0.8875312691733434,0.1368211286594262,0.07560819225026638,0.8738510361960344,0.8676922917366028,0.11769229173660278,0.055769214813525814,0.813076913356781,0.063076913356781,0.0011538364337040363,0.9090059995651245,0.1590059995651245,0.09708292264204754,0.908943235874176,0.15894323587417603,0.09702015895109906,0.8317281633891073,0.08172816338910727,0.019805086466030297
seed_456,corr_source_fog_sev4,7,2600,True,False,False,0.678076923076923,0.678076923076923,0.7715384615384615,0.9666136724960255,0.9675334448001971,0.28853674941910246,0.1959949832617356,0.8600324857895705,0.866889621291599,0.18195556271264746,0.09535115975313746,0.8503254755447722,0.8342307806015015,0.15615385752457844,0.06269231906303996,0.7726923227310181,0.09461539965409504,0.00115386119255656,0.8899754285812378,0.21189850550431477,0.11843696704277629,0.8899126648902893,0.21183574181336629,0.1183742033518278,0.7785979344094915,0.10052101133256852,0.007059472871030037
seed_456,corr_source_fog_sev5,8,2600,True,False,False,0.5219230769230769,0.5219230769230769,0.7138461538461538,0.9591673338670936,0.9591673338670936,0.4372442569440167,0.24532118002093983,0.7962048260688178,0.831054444818132,0.2742817491457409,0.11720829097197816,0.8029547736604352,0.7823076844215393,0.2603846074984624,0.06846153057538551,0.7065384387969971,0.18461536187392014,0.007307715049156727,0.8567463755607605,0.33482329863768356,0.1429002217146067,0.856683611869812,0.3347605349467351,0.14283745802365821,0.6355637916615833,0.11364071473850634,0.07828236218457052
seed_456,corr_source_frost_sev1,9,2600,True,False,False,0.8369230769230769,0.8369230769230769,0.8703846153846154,0.9775855289028705,0.9782823601141898,0.14066245197979366,0.10789774472957436,0.9269325462579358,0.9320684485655782,0.09000946933485887,0.06168383318096282,0.9124040500937168,0.9107692241668701,0.07384614724379324,0.040384608782254694,0.8757692575454712,0.03884618062239431,0.005384642160855768,0.9362908601760864,0.09936778325300955,0.065906244791471,0.9362280964851379,0.09930501956206106,0.06584348110052252,0.9020479545093515,0.06512487758627461,0.03166333912473607
